id,category,keywords,response,source
C01,Club,"E-Cell, entrepreneurship cell, ecell","E-Cell (Entrepreneurship Cell) supports student startups, organises workshops on business plan, ideation and connects students with mentors and incubators. Check TIMSCDR event pages for recent activities.",https://www.timscdrmumbai.in/
C02,Club,"Placement Cell, placements, training, career","Placement Cell coordinates industry interactions, placement drives, internships and skill-building sessions for MCA students. It works with corporate partners to improve campus placements.",https://tscermumbai.in/wp-content/uploads/2024/01/SSR-FINAL-MHCOGN113908-1.pdf
C03,Club,"Green Club, Green IT Club, environmental club","Green Club (Green IT Club) at TIMSCDR promotes sustainability on campus through awareness campaigns, tree plantation drives, and events linking technology with ecology.",https://www.timscdrmumbai.in/green-club/
C04,Club,"Youstav club, yousta, student engagement","Yousta Club promotes student-led activities and social engagement. It organises cultural events, competitions and community outreach programs.",https://www.timscdrmumbai.in/
C05,Club,"Student Council, student body, council","Student Council represents the student community, helping coordinate events, feedback, and student welfare initiatives across the institute.",https://tscermumbai.in/wp-content/uploads/2024/01/SSR-FINAL-MHCOGN113908-1.pdf
C06,Club,"Alumni Club, alumni association, alumni","Alumni Club/Association keeps former students connected with the institute, supports mentoring, and shares placement and career opportunities.",https://alumni.timscdrmumbai.in/about
C07,Club,"Coding Club, coding, programming club","Coding Club organises coding competitions, hackathons, workshops on programming languages and DSA to prepare students for technical interviews.",https://www.timscdrmumbai.in/
C08,Club,"Sports Committee, sports, athletics","Sports Committee organises intra-college and inter-college sports events, and promotes physical fitness and team spirit among students.",https://tscermumbai.in/wp-content/uploads/2024/01/SSR-FINAL-MHCOGN113908-1.pdf
C09,Club,"Digital Club, digital, media club","Digital Club focuses on digital skills such as social media, content creation, web design and digital marketing workshops for students.",https://www.timscdrmumbai.in/
C10,Club,"Cultural Committee, cultural, arts club","Cultural Committee organises festivals, cultural nights, and arts/literary activities that enrich campus life.",https://tscermumbai.in/wp-content/uploads/2024/01/SSR-FINAL-MHCOGN113908-1.pdf
C12,Club,"Women Development Cell, wdc, women cell","Women Development Cell (WDC) organises programs on gender sensitisation, safety awareness and supports women students' welfare.",https://tscermumbai.in/wp-content/uploads/2024/01/SSR-FINAL-MHCOGN113908-1.pdf
F01,Faculty,"Rupali Jadhav, Ms Rupali Jadhav, IQAC Coordinator","Ms. Rupali Jadhav — Assistant Professor & IQAC Coordinator at TIMSCDR. (Listed on TIMSCDR staff pages.) For full profile and qualifications, see the official staff listing.",https://www.timscdrmumbai.in/staff/
F02,Faculty,"Brijesh Pandey, Mr Brijesh Pandey, assistant professor",Mr. Brijesh Pandey — Assistant Professor at TIMSCDR (listed on official faculty pages). He teaches core MCA subjects and participates in student activities and training.,https://www.timscdrmumbai.in/staff/
F03,Faculty,"Sonu Gupta, Ms Sonu Gupta, assistant professor","Ms. Sonu Gupta — Assistant Professor listed in the TIMSCDR faculty list. For individual achievements and publications, check the faculty directory on the official site.",https://www.timscdrmumbai.in/faculty-list/
F04,Faculty,"Rashmi Vipat, Ms Rashmi Vipat",Ms. Rashmi Vipat — Assistant Professor (profile appears on TIMSCDR faculty listings). Faculty profiles often include qualifications and areas of research.,https://www.timscdrmumbai.in/faculty-list/
F05,Faculty,"Aprajita Singh, Ms Aprajita Singh","Ms. Aprajita Singh — Assistant Professor at TIMSCDR (listed on the college website). For details on publications and achievements, refer to the faculty page.",https://www.timscdrmumbai.in/faculty-list/
F06,Faculty,"Shirshendu, Mr Shirshendu, assistant professor",Mr. Shirshendu — Assistant Professor (name appears in faculty list). Official pages provide contact and qualification details.,https://www.timscdrmumbai.in/faculty-list/
F07,Faculty,"Dr Vidya Nakhate, Dr. Vidya Nakhate",Dr. Vidya Nakhate — Listed on Thakur group faculty pages and TIMSR listings; faculty profiles include research interests and teaching experience.,https://timsrmumbai.in/faculty/
P01,Campus,"Thakur Village, kandivali, thakur village kandivali east","Thakur Educational Campus is located at Shyamnarayan Thakur Marg, Thakur Village, Kandivali (East), Mumbai — housing TIMSCDR, TCET and other Thakur institutes. Contact and address details appear on the official website.",https://www.timscdrmumbai.in/
P02,Hostel,"Thakur Aspire, thakur aspire hostel, aspire hostel","Thakur Aspire (Aspire Hostel) provides hostel accommodation close to the campus; it offers apartment-style living with facilities such as attached bathrooms, mess, security, Wi-Fi and 24x7 security — see TCET and admission hostel pages for fees and specifics.",https://admission.tcetmumbai.in/hostel-facility.php
P03,Campus,"facilities, labs, digital library, campus facilities timscdr","TIMSCDR campus has modern computer labs, a digital library, seminar halls, and industry-oriented infrastructure to support MCA practical learning.",https://www.timscdrmumbai.in/
H01,History,"history, about timscdr, established 2001, established 2002","TIMSCDR (Thakur Institute of Management Studies, Career Development & Research) was established in the early 2000s (listed as 2001/2002 in institutional profiles) as part of the Thakur Education Group to offer postgraduate and professional programs including MCA. For official history, consult the institute's About and alumni pages.",https://alumni.timscdrmumbai.in/about
H02,Accreditation,"affiliation, mumbai university, mu, aiCTE",TIMSCDR is affiliated with the University of Mumbai and follows regulations for its MCA program. It is part of the Thakur Education Campus which includes various colleges accredited and affiliated to Mumbai University.,https://www.timscdrmumbai.in/
A01,Admission,"mca admission, mah mca cet, cap rounds, dte","MCA admissions at TIMSCDR follow MAH-MCA-CET ranks and the CAP process conducted by the Directorate of Technical Education (DTE), Maharashtra.",https://www.shiksha.com/college/thakur-institute-of-management-studies-career-development-and-research-kandivali-east-mumbai-64243/fees
S01,Syllabus,"mca syllabus, autonomous syllabus, timscdr mca syllabus","The autonomous MCA syllabus at TIMSCDR covers AI, IoT, Data Analytics, Python, Cloud Computing, Software Engineering and Web Technologies — designed to be industry-oriented and practical.",https://www.timscdrmumbai.in/
Z01,Fallback,"unknown, not trained, out of dataset",I am not trained for this till now.,
